Date,Visitor,Visitor Score,Home Team,Home Score,Line
10/26/2013,North Texas,55,Southern Miss,14,-12.0
10/26/2013,Louisiana Tech,23,Florida Intl,7,-4.5
10/26/2013,South Carolina,27,Missouri,24,3.0
10/26/2013,Oklahoma State,58,Iowa State,27,-12.5
10/26/2013,Baylor,59,Kansas,14,-34.5
10/26/2013,Nebraska,23,Minnesota,34,-10.0
10/26/2013,Louisville,34,South Florida,3,-21.0
10/26/2013,Toledo,28,Bowling Green,25,3.5
10/26/2013,Penn State,14,Ohio State,63,15.0
10/26/2013,UTEP,7,Rice,45,17.0
10/26/2013,Fresno State,35,San Diego State,28,-6.0
10/26/2013,Colorado State,35,Hawaii,28,-2.0
10/26/2013,Abilene Christian,29,New Mexico State,34, 
10/26/2013,Furman,16,Louisiana State,48, 
10/30/2013,Cincinnati, ,Memphis, ,-3.0
10/31/2013,South Florida, ,Houston, ,17.0
10/31/2013,Rice, ,North Texas, ,5.5
10/31/2013,UL-Monroe, ,Troy, ,3.5
10/31/2013,Arizona State, ,Washington State, ,-12.5
11/01/2013,Southern Cal, ,Oregon State, ,4.5
11/02/2013,Clemson, ,Virginia, ,-17.0
11/02/2013,Virginia Tech, ,Boston College, ,-4.5
11/02/2013,Eastern Michigan, ,Toledo, ,28.5
11/02/2013,Northern Illinois, ,Massachusetts, ,-23.0
11/02/2013,Kent State, ,Akron, ,-1.0
11/02/2013,Temple, ,Rutgers, ,14.5
11/02/2013,Illinois, ,Penn State, ,10.0
11/02/2013,Pittsburgh, ,Georgia Tech, ,9.5
11/02/2013,Wake Forest, ,Syracuse, ,3.0
11/02/2013,Western Kentucky, ,Georgia State, ,-19.0
11/02/2013,Tennessee, ,Missouri, ,13.0
11/02/2013,Iowa State, ,Kansas State, ,16.5
11/02/2013,Southern Miss, ,Marshall, ,28.5
11/02/2013,UTEP, ,Texas A+M, ,45.0
11/02/2013,Middle Tennessee, ,U-A-B, ,-4.0
11/02/2013,Texas-San Antonio, ,Tulsa, ,3.0
11/02/2013,Army, ,Air Force, , 
11/02/2013,West Virginia, ,Texas Christian, ,13.5
11/02/2013,Georgia, ,Florida, ,-2.5
11/02/2013,Arizona, ,California, ,-14.5
11/02/2013,Miami-Florida, ,Florida State, ,22.0
11/02/2013,Wisconsin, ,Iowa, ,-8.5
11/02/2013,Michigan, ,Michigan State, ,5.0
11/02/2013,Ohio State, ,Purdue, ,-31.0
11/02/2013,Minnesota, ,Indiana, ,9.5
11/02/2013,Colorado, ,U.C.L.A., ,26.5
11/02/2013,Navy, ,Notre Dame, ,16.5
11/02/2013,Auburn, ,Arkansas, , 
11/02/2013,Northwestern, ,Nebraska, ,7.5
11/02/2013,Arkansas State, ,South Alabama, ,3.5
11/02/2013,Hawaii, ,Utah State, ,21.5
11/02/2013,San Jose State, ,Nevada-Las Vegas, ,-3.5
11/02/2013,New Mexico State, ,UL-Lafayette, ,28.5
11/02/2013,Texas State, ,Idaho, ,-11.0
11/02/2013,North Carolina, ,No Carolina State, ,-3.5
11/02/2013,Kansas, ,Texas, ,28.0
11/02/2013,Tulane, ,Florida Atlantic, ,3.5
11/02/2013,Oklahoma State, ,Texas Tech, ,1.5
11/02/2013,East Carolina, ,Florida Intl, ,-21.5
11/02/2013,Nevada-Reno, ,Fresno State, ,20.0
11/02/2013,Mississippi State, ,South Carolina, ,12.5
11/02/2013,Boise State, ,Colorado State, ,-8.0
11/02/2013,New Mexico, ,San Diego State, ,16.0
11/02/2013,Alabama State, ,Kentucky, , 
11/05/2013,Ohio, ,Buffalo, , 
11/05/2013,Bowling Green, ,Miami-Ohio, , 
11/06/2013,Central Michigan, ,Ball State, , 
11/07/2013,Oklahoma, ,Baylor, , 
11/07/2013,Troy, ,UL-Lafayette, , 
11/07/2013,Oregon, ,Stanford, , 
11/08/2013,Louisville, ,Connecticut, , 
11/08/2013,Air Force, ,New Mexico, , 
11/09/2013,Iowa, ,Purdue, , 
11/09/2013,Western Kentucky, ,Army, , 
11/09/2013,S-M-U, ,Cincinnati, , 
11/09/2013,No Carolina State, ,Duke, , 
11/09/2013,Tulsa, ,East Carolina, , 
11/09/2013,Illinois, ,Indiana, , 
11/09/2013,Texas Christian, ,Iowa State, , 
11/09/2013,Florida State, ,Wake Forest, , 
11/09/2013,U-A-B, ,Marshall, , 
11/09/2013,Virginia Tech, ,Miami-Florida, , 
11/09/2013,Penn State, ,Minnesota, , 
11/09/2013,Syracuse, ,Maryland, , 
11/09/2013,Missouri, ,Kentucky, , 
11/09/2013,Virginia, ,North Carolina, , 
11/09/2013,Vanderbilt, ,Florida, , 
11/09/2013,Western Michigan, ,Eastern Michigan, , 
11/09/2013,Tulane, ,Texas-San Antonio, , 
11/09/2013,Fresno State, ,Wyoming, , 
11/09/2013,Kansas State, ,Texas Tech, , 
11/09/2013,Brigham Young, ,Wisconsin, , 
11/09/2013,Arkansas, ,Mississippi, , 
11/09/2013,Nevada-Reno, ,Colorado State, , 
11/09/2013,Colorado, ,Washington, , 
11/09/2013,Texas, ,West Virginia, , 
11/09/2013,Arizona State, ,Utah, , 
11/09/2013,Nebraska, ,Michigan, , 
11/09/2013,Hawaii, ,Navy, , 
11/09/2013,UTEP, ,North Texas, , 
11/09/2013,Kansas, ,Oklahoma State, , 
11/09/2013,Southern Cal, ,California, , 
11/09/2013,Notre Dame, ,Pittsburgh, , 
11/09/2013,Mississippi State, ,Texas A+M, , 
11/09/2013,Boston College, ,New Mexico State, , 
11/09/2013,Utah State, ,Nevada-Las Vegas, , 
11/09/2013,Florida Intl, ,Middle Tennessee, , 
11/09/2013,Arkansas State, ,UL-Monroe, , 
11/09/2013,Southern Miss, ,Louisiana Tech, , 
11/09/2013,Auburn, ,Tennessee, , 
11/09/2013,Houston, ,U-C-F, , 
11/09/2013,U.C.L.A., ,Arizona, , 
11/09/2013,Louisiana State, ,Alabama, , 
11/09/2013,San Diego State, ,San Jose State, , 
11/09/2013,Old Dominion, ,Idaho, , 
11/09/2013,Appalachian State, ,Georgia, , 
11/09/2013,Tennessee-Martin, ,Memphis, , 
11/12/2013,Ohio, ,Bowling Green, , 
11/12/2013,Buffalo, ,Toledo, , 
11/13/2013,Ball State, ,Northern Illinois, , 
11/13/2013,Miami-Ohio, ,Kent State, , 
11/14/2013,Georgia Tech, ,Clemson, , 
11/14/2013,Marshall, ,Tulsa, , 
11/15/2013,Washington, ,U.C.L.A., , 
11/16/2013,Miami-Florida, ,Duke, , 
11/16/2013,Indiana, ,Wisconsin, , 
11/16/2013,Kentucky, ,Vanderbilt, , 
11/16/2013,Houston, ,Louisville, , 
11/16/2013,Central Michigan, ,Western Michigan, , 
11/16/2013,Maryland, ,Virginia Tech, , 
11/16/2013,No Carolina State, ,Boston College, , 
11/16/2013,Cincinnati, ,Rutgers, , 
11/16/2013,North Carolina, ,Pittsburgh, , 
11/16/2013,U-C-F, ,Temple, , 
11/16/2013,Purdue, ,Penn State, , 
11/16/2013,Florida, ,South Carolina, , 
11/16/2013,Michigan, ,Northwestern, , 
11/16/2013,Syracuse, ,Florida State, , 
11/16/2013,Florida Atlantic, ,Southern Miss, , 
11/16/2013,Akron, ,Massachusetts, , 
11/16/2013,U-A-B, ,East Carolina, , 
11/16/2013,Connecticut, ,S-M-U, , 
11/16/2013,West Virginia, ,Kansas, , 
11/16/2013,UL-Lafayette, ,Georgia State, , 
11/16/2013,California, ,Colorado, , 
11/16/2013,Texas Tech, ,Baylor, , 
11/16/2013,Wyoming, ,Boise State, , 
11/16/2013,Oregon State, ,Arizona State, , 
11/16/2013,Georgia, ,Auburn, , 
11/16/2013,Oklahoma State, ,Texas, , 
11/16/2013,Iowa State, ,Oklahoma, , 
11/16/2013,Utah, ,Oregon, , 
11/16/2013,South Alabama, ,Navy, , 
11/16/2013,Michigan State, ,Nebraska, , 
11/16/2013,Ohio State, ,Illinois, , 
11/16/2013,San Jose State, ,Nevada-Reno, , 
11/16/2013,Alabama, ,Mississippi State, , 
11/16/2013,Stanford, ,Southern Cal, , 
11/16/2013,Colorado State, ,New Mexico, , 
11/16/2013,Memphis, ,South Florida, , 
11/16/2013,Louisiana Tech, ,Rice, , 
11/16/2013,Texas Christian, ,Kansas State, , 
11/16/2013,Troy, ,Mississippi, , 
11/16/2013,Texas State, ,Arkansas State, , 
11/16/2013,Florida Intl, ,UTEP, , 
11/16/2013,Washington State, ,Arizona, , 
11/16/2013,San Diego State, ,Hawaii, , 
11/16/2013,Idaho State, ,Brigham Young, , 
11/19/2013,Buffalo, ,Miami-Ohio, , 
11/19/2013,Kent State, ,Ohio, , 
11/20/2013,Northern Illinois, ,Toledo, , 
11/21/2013,Rutgers, ,U-C-F, , 
11/21/2013,Rice, ,U-A-B, , 
11/21/2013,Nevada-Las Vegas, ,Air Force, , 
11/22/2013,Navy, ,San Jose State, , 
11/23/2013,Nebraska, ,Penn State, , 
11/23/2013,Illinois, ,Purdue, , 
11/23/2013,Pittsburgh, ,Syracuse, , 
11/23/2013,Connecticut, ,Temple, , 
11/23/2013,Indiana, ,Ohio State, , 
11/23/2013,Michigan State, ,Northwestern, , 
11/23/2013,East Carolina, ,No Carolina State, , 
11/23/2013,Idaho, ,Florida State, , 
11/23/2013,Marshall, ,Florida Intl, , 
11/23/2013,Kentucky, ,Georgia, , 
11/23/2013,Kansas, ,Iowa State, , 
11/23/2013,Duke, ,Wake Forest, , 
11/23/2013,Boston College, ,Maryland, , 
11/23/2013,Wisconsin, ,Minnesota, , 
11/23/2013,Virginia, ,Miami-Florida, , 
11/23/2013,Cincinnati, ,Houston, , 
11/23/2013,Memphis, ,Louisville, , 
11/23/2013,Vanderbilt, ,Tennessee, , 
11/23/2013,Massachusetts, ,Central Michigan, , 
11/23/2013,Bowling Green, ,Eastern Michigan, , 
11/23/2013,Hawaii, ,Wyoming, , 
11/23/2013,Western Kentucky, ,Texas State, , 
11/23/2013,Michigan, ,Iowa, , 
11/23/2013,Arizona State, ,U.C.L.A., , 
11/23/2013,Colorado State, ,Utah State, , 
11/23/2013,Southern Cal, ,Colorado, , 
11/23/2013,Texas A+M, ,Louisiana State, , 
11/23/2013,Mississippi State, ,Arkansas, , 
11/23/2013,Oregon, ,Arizona, , 
11/23/2013,UTEP, ,Tulane, , 
11/23/2013,California, ,Stanford, , 
11/23/2013,Texas-San Antonio, ,North Texas, , 
11/23/2013,Brigham Young, ,Notre Dame, , 
11/23/2013,Baylor, ,Oklahoma State, , 
11/23/2013,Middle Tennessee, ,Southern Miss, , 
11/23/2013,Georgia State, ,Arkansas State, , 
11/23/2013,Washington, ,Oregon State, , 
11/23/2013,UL-Monroe, ,South Alabama, , 
11/23/2013,S-M-U, ,South Florida, , 
11/23/2013,New Mexico, ,Fresno State, , 
11/23/2013,New Mexico State, ,Florida Atlantic, , 
11/23/2013,Tulsa, ,Louisiana Tech, , 
11/23/2013,Oklahoma, ,Kansas State, , 
11/23/2013,Missouri, ,Mississippi, , 
11/23/2013,Utah, ,Washington State, , 
11/23/2013,Boise State, ,San Diego State, , 
11/23/2013,Old Dominion, ,North Carolina, , 
11/23/2013,Chattanooga, ,Alabama, , 
11/23/2013,Georgia Southern, ,Florida, , 
11/23/2013,Coastal Carolina, ,South Carolina, , 
11/23/2013,Alabama A+M, ,Georgia Tech, , 
11/23/2013,The Citadel, ,Clemson, , 
11/26/2013,Western Michigan, ,Northern Illinois, , 
11/28/2013,Texas Tech, ,Texas, , 
11/28/2013,Mississippi, ,Mississippi State, , 
11/29/2013,Iowa, ,Nebraska, , 
11/29/2013,Toledo, ,Akron, , 
11/29/2013,Miami-Ohio, ,Ball State, , 
11/29/2013,Eastern Michigan, ,Central Michigan, , 
11/29/2013,Massachusetts, ,Ohio, , 
11/29/2013,East Carolina, ,Marshall, , 
11/29/2013,Bowling Green, ,Buffalo, , 
11/29/2013,Arkansas, ,Louisiana State, , 
11/29/2013,Texas State, ,Troy, , 
11/29/2013,Florida Intl, ,Florida Atlantic, , 
11/29/2013,South Florida, ,U-C-F, , 
11/29/2013,Fresno State, ,San Jose State, , 
11/29/2013,Miami-Florida, ,Pittsburgh, , 
11/29/2013,Washington State, ,Washington, , 
11/29/2013,S-M-U, ,Houston, , 
11/29/2013,Oregon State, ,Oregon, , 
11/30/2013,Ohio State, ,Michigan, , 
11/30/2013,Boston College, ,Syracuse, , 
11/30/2013,Maryland, ,No Carolina State, , 
11/30/2013,Wake Forest, ,Vanderbilt, , 
11/30/2013,Duke, ,North Carolina, , 
11/30/2013,Iowa State, ,West Virginia, , 
11/30/2013,Northwestern, ,Illinois, , 
11/30/2013,Purdue, ,Indiana, , 
11/30/2013,Rutgers, ,Connecticut, , 
11/30/2013,Tennessee, ,Kentucky, , 
11/30/2013,Minnesota, ,Michigan State, , 
11/30/2013,Temple, ,Memphis, , 
11/30/2013,Southern Miss, ,U-A-B, , 
11/30/2013,South Alabama, ,Georgia State, , 
11/30/2013,Wyoming, ,Utah State, , 
11/30/2013,Colorado, ,Utah, , 
11/30/2013,Brigham Young, ,Nevada-Reno, , 
11/30/2013,Tulane, ,Rice, , 
11/30/2013,Georgia, ,Georgia Tech, , 
11/30/2013,Texas A+M, ,Missouri, , 
11/30/2013,Virginia Tech, ,Virginia, , 
11/30/2013,Alabama, ,Auburn, , 
11/30/2013,New Mexico, ,Boise State, , 
11/30/2013,Baylor, ,Texas Christian, , 
11/30/2013,Florida State, ,Florida, , 
11/30/2013,Air Force, ,Colorado State, , 
11/30/2013,Kansas State, ,Kansas, , 
11/30/2013,Penn State, ,Wisconsin, , 
11/30/2013,Louisiana Tech, ,Texas-San Antonio, , 
11/30/2013,Idaho, ,New Mexico State, , 
11/30/2013,San Diego State, ,Nevada-Las Vegas, , 
11/30/2013,Arkansas State, ,Western Kentucky, , 
11/30/2013,North Texas, ,Tulsa, , 
11/30/2013,UL-Monroe, ,UL-Lafayette, , 
11/30/2013,UTEP, ,Middle Tennessee, , 
11/30/2013,Clemson, ,South Carolina, , 
11/30/2013,U.C.L.A., ,Southern Cal, , 
11/30/2013,Notre Dame, ,Stanford, , 
11/30/2013,Arizona, ,Arizona State, , 
11/30/2013,Army, ,Hawaii, , 
12/05/2013,Louisville, ,Cincinnati, , 
12/06/2013,MAC #2, ,MAC #1, , 
12/07/2013,Memphis, ,Connecticut, , 
12/07/2013,Conference USA #2, ,Conference USA #1, , 
12/07/2013,South Florida, ,Rutgers, , 
12/07/2013,Texas, ,Baylor, , 
12/07/2013,UL-Lafayette, ,South Alabama, , 
12/07/2013,U-C-F, ,S-M-U, , 
12/07/2013,Oklahoma, ,Oklahoma State, , 
12/07/2013,SEC #2, ,SEC #1, , 
12/07/2013,ACC #2, ,ACC #1, , 
12/07/2013,Pac 12 #2, ,Pac 12 #1, , 
12/07/2013,Big Ten #2, ,Big Ten #1, , 
12/07/2013,Mountain West #2, ,Mountain West #1, , 
12/14/2013,Army, ,Navy, , 
